,accuracy,loss,val_accuracy,val_loss
0,0.4187559485435486,1.9081400632858276,0.6988440155982971,0.9024330377578735
1,0.6784766912460327,0.9583582282066345,0.7968773245811462,0.6093235611915588
2,0.7781113982200623,0.6511983275413513,0.8450683355331421,0.46469593048095703
3,0.8436670899391174,0.4647634029388428,0.8791472911834717,0.37118324637413025
4,0.8842015862464905,0.34536445140838623,0.899264395236969,0.30807262659072876
5,0.9114246964454651,0.26499107480049133,0.9142771363258362,0.27124863862991333
6,0.9371966123580933,0.19904302060604095,0.924185574054718,0.24380184710025787
7,0.9515588283538818,0.15375572443008423,0.9303407669067383,0.2249235063791275
8,0.9634689688682556,0.11993493139743805,0.9352949857711792,0.21301835775375366
9,0.9709252715110779,0.10057061165571213,0.9372466802597046,0.20763970911502838
